Parker Collier,,,,,,,,,
Wrap:,TRUE,,,,,,,,
K(states):,5,,,,,,,,
Radius:,1,,,,,,,,
Quiescence:,TRUE,,,,,,,,
random seed:,1707229040,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Experiment #:,0,,,,,,,,
Rule:,3.24442E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
7,1,,0.44,0.384615385,1.405678055,1.334679141,1.485,chaos,
8,12,,0.432,0.307692308,1.390843694,1.140115679,1.485,chaos,
9,6,,0.28,0.230769231,0.855450811,0.779349837,1.545,chaos,
10,9,,0.2,0.153846154,0.721928095,0.619382195,0.96,chaos,
11,3,,0.12,0.076923077,0.529360865,0.391243564,0,dead,
12,4,,0,0,0,0,0,dead,
,,,,,,,,,
,,,,,,,,,
Experiment #:,24,,,,,,,,
Rule:,4.34223E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
0,-,,0.992,0.923076923,1.612966048,1.826245258,3.05,chaos,
1,4,,0.872,0.846153846,1.890753621,1.884313528,3.14,chaos,
2,12,,0.864,0.769230769,1.903434892,1.950063756,2.905,chaos,
3,11,,0.84,0.692307692,1.919614526,1.950063756,2.585,chaos,
4,5,,0.696,0.615384615,1.826846312,1.826245258,0.28,repeating,
5,3,,0.616,0.538461538,1.753968978,1.738149333,0.21,repeating,
6,6,,0.464,0.461538462,1.670483288,1.669180337,0.105,repeating,
7,2,,0.416,0.384615385,1.604390494,1.546593564,0.08,repeating,
8,8,,0.296,0.307692308,1.234238277,1.352030102,0,dead,
9,9,,0.216,0.230769231,0.861499867,0.991264261,0,dead,
10,10,,0.168,0.153846154,0.752510139,0.773228349,0,dead,
11,1,,0.144,0.076923077,0.594619344,0.391243564,0,dead,
12,7,,0,0,0,0,0,dead,
,,,,,,,,,
,,,,,,,,,
Experiment #:,25,,,,,,,,
Rule:,4.22123E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
0,-,,0.992,0.923076923,1.681462493,2.038159682,1.915,chaos,
1,11,,0.968,0.846153846,1.784267972,2.16197818,1.935,chaos,
2,6,,0.816,0.769230769,1.661617554,1.950063756,1.415,edge,
3,7,,0.672,0.692307692,1.733848897,1.950063756,1.235,chaos,
4,3,,0.592,0.615384615,1.714706452,1.922023143,1.175,chaos,
5,12,,0.584,0.538461538,1.683633969,1.775858948,1.32,chaos,
6,2,,0.536,0.461538462,1.6438561,1.669180337,0.56,chaos,
7,4,,0.416,0.384615385,1.498130813,1.546593564,0,dead,
8,9,,0.336,0.307692308,1.356340475,1.352030102,0,dead,
9,1,,0.312,0.230769231,1.206135606,0.991264261,0,dead,
10,10,,0.264,0.153846154,1.095146613,0.773228349,0,dead,
11,8,,0.144,0.076923077,0.594619344,0.391243564,0,dead,
12,5,,0,0,0,0,0,dead,
,,,,,,,,,
,,,,,,,,,
Experiment #:,26,,,,,,,,
Rule:,1.31321E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
0,-,,0.992,0.923076923,1.979036749,2.133937566,3.02,repeating,
1,11,,0.968,0.846153846,2.052476876,2.133937566,2.985,repeating,
2,12,,0.96,0.769230769,2.079454361,2.199687795,3,repeating,
3,2,,0.912,0.692307692,2.197555312,2.199687795,2.905,repeating,
4,4,,0.792,0.615384615,2.298539585,2.133937566,0.485,chaos,
5,6,,0.64,0.538461538,2.194318201,2.045841641,0.545,chaos,
6,9,,0.56,0.461538462,2.087531408,1.88109476,0.495,chaos,
7,1,,0.536,0.384615385,2.032317984,1.700439718,0,dead,
8,7,,0.392,0.307692308,1.552150437,1.352030102,0,dead,
9,10,,0.344,0.230769231,1.46017985,1.145110414,0,dead,
10,3,,0.264,0.153846154,1.095146613,0.773228349,0,dead,
11,5,,0.12,0.076923077,0.529360865,0.391243564,0,dead,
12,8,,0,0,0,0,0,dead,
,,,,,,,,,
,,,,,,,,,
Experiment #:,27,,,,,,,,
Rule:,3.22231E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
0,-,,0.992,0.923076923,1.986313785,2.075869297,2.27,chaos,
1,9,,0.912,0.846153846,2.17261516,2.133937566,1.93,chaos,
2,6,,0.76,0.769230769,2.292340092,2.199687795,1.62,edge,
3,5,,0.616,0.692307692,2.025238461,2.10390991,1.03,chaos,
4,8,,0.496,0.615384615,1.82033197,2.075869297,0.78,chaos,
5,11,,0.472,0.538461538,1.749983329,1.987773371,1.2,chaos,
6,3,,0.392,0.461538462,1.633414854,1.88109476,0.95,chaos,
7,12,,0.384,0.384615385,1.604947948,1.700439718,0.96,chaos,
8,7,,0.24,0.307692308,1.072667395,1.352030102,0.94,chaos,
9,1,,0.216,0.230769231,0.91786424,0.991264261,0.87,chaos,
10,2,,0.168,0.153846154,0.798113368,0.773228349,0.04,repeating,
11,10,,0.12,0.076923077,0.529360865,0.391243564,0.04,repeating,
12,4,,0,0,0,0,0,dead,
,,,,,,,,,
,,,,,,,,,
Experiment #:,28,,,,,,,,
Rule:,2.11144E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
0,-,,0.992,0.923076923,1.198401334,1.76049503,2.305,repeating,
1,12,,0.984,0.846153846,1.208362234,1.76049503,1.785,chaos,
2,7,,0.84,0.769230769,1.603913007,1.826245258,2.145,chaos,
3,5,,0.696,0.692307692,1.701851616,1.826245258,1.49,edge,
4,4,,0.576,0.615384615,1.677108716,1.826245258,1,repeating,
5,11,,0.552,0.538461538,1.662260287,1.738149333,1.07,repeating,
6,1,,0.528,0.461538462,1.525386873,1.419556299,0.255,repeating,
7,6,,0.376,0.384615385,1.294866429,1.238901257,0.225,repeating,
8,3,,0.296,0.307692308,1.164657589,1.140115679,0.12,repeating,
9,10,,0.248,0.230769231,1.055906597,0.991264261,0.16,repeating,
10,2,,0.2,0.153846154,0.916118214,0.773228349,0.16,repeating,
11,8,,0.08,0.076923077,0.40217919,0.391243564,0,dead,
12,9,,0,0,0,0,0,dead,
,,,,,,,,,
,,,,,,,,,
Experiment #:,29,,,,,,,,
Rule:,4.44214E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
0,-,,0.992,0.923076923,1.601327563,1.669180337,4,repeating,
1,5,,0.848,0.846153846,1.844111781,1.669180337,3.98,repeating,
2,11,,0.824,0.769230769,1.859003103,1.669180337,3.98,repeating,
3,7,,0.68,0.692307692,1.541315277,1.419556299,3.84,repeating,
4,2,,0.632,0.615384615,1.554493483,1.460484681,3.88,repeating,
5,8,,0.512,0.538461538,1.401791334,1.314320487,0.9,edge,
6,12,,0.504,0.461538462,1.399050443,1.295737801,0,dead,
7,1,,0.48,0.384615385,1.388259036,1.238901257,0.02,repeating,
8,10,,0.432,0.307692308,1.354855557,1.140115679,1.18,edge,
9,4,,0.312,0.230769231,0.895468641,0.779349837,0,dead,
10,3,,0.232,0.153846154,0.781481493,0.619382195,0,dead,
11,6,,0.08,0.076923077,0.40217919,0.391243564,0,dead,
12,9,,0,0,0,0,0,dead,
