Parker Collier,,,,,,,,,
Wrap:,TRUE,,,,,,,,
K(states):,5,,,,,,,,
Radius:,1,,,,,,,,
Quiescence:,TRUE,,,,,,,,
random seed:,1707229040,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Experiment #:,0,,,,,,,,
Rule:,3.24442E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
7,8,,0.256,0.384615385,1.069839791,1.546593564,0.405,repeating,
8,11,,0.232,0.307692308,0.941722746,1.352030102,0.45,repeating,
9,1,,0.208,0.230769231,0.786562604,0.991264261,0,dead,
10,9,,0.128,0.153846154,0.595100682,0.773228349,0,dead,
11,12,,0.12,0.076923077,0.529360865,0.391243564,0,dead,
12,4,,0,0,0,0,0,dead,
,,,,,,,,,
,,,,,,,,,
Experiment #:,6,,,,,,,,
Rule:,4.13441E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
0,-,,0.992,0.923076923,1.715167121,2.075869297,2.95,edge,
1,3,,0.912,0.846153846,1.8764286,2.133937566,3.045,edge,
2,11,,0.888,0.769230769,1.902511095,2.133937566,2.665,chaos,
3,8,,0.768,0.692307692,1.713883256,2.038159682,2.055,repeating,
4,6,,0.616,0.615384615,1.501002284,1.914341184,1.94,chaos,
5,10,,0.568,0.538461538,1.283594684,1.614330835,2.065,chaos,
6,5,,0.424,0.461538462,1.255158484,1.573402452,1.765,chaos,
7,7,,0.28,0.384615385,1.090724353,1.488525295,1.64,chaos,
8,9,,0.2,0.307692308,0.926151933,1.352030102,1.135,chaos,
9,4,,0.08,0.230769231,0.505816138,1.145110414,0,dead,
10,2,,0.032,0.153846154,0.230285571,0.773228349,0,dead,
11,12,,0.024,0.076923077,0.163345543,0.391243564,0,dead,
12,1,,0,0,0,0,0,dead,
,,,,,,,,,
,,,,,,,,,
Experiment #:,7,,,,,,,,
Rule:,1.24424E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
0,-,,0.992,0.923076923,1.393136964,1.826245258,2.385,edge,
1,9,,0.912,0.846153846,1.680332941,1.950063756,2.55,edge,
2,1,,0.888,0.769230769,1.674260972,1.950063756,2.67,edge,
3,3,,0.808,0.692307692,1.761239793,1.950063756,2.365,chaos,
4,10,,0.76,0.615384615,1.65409435,1.826245258,2.39,chaos,
5,7,,0.616,0.538461538,1.697874847,1.775858948,2.33,chaos,
6,2,,0.568,0.461538462,1.673714491,1.669180337,2.44,chaos,
7,4,,0.448,0.384615385,1.532611142,1.546593564,0,dead,
8,8,,0.328,0.307692308,1.340130181,1.352030102,0,dead,
9,11,,0.304,0.230769231,1.189517916,0.991264261,0,dead,
10,5,,0.16,0.153846154,0.634309555,0.619382195,0,dead,
11,6,,0.008,0.076923077,0.067221545,0.391243564,0,dead,
12,12,,0,0,0,0,0,dead,
