Parker Collier
Wrap:,true
K(states):,5
Radius:,1
Quiescence:,true
random seed:,1707197402


Experiment #:,0
Rule:,0222332442243
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.6069445904919903,1.7758589482446405,1.22 1.2298387096774193 1.3216666666666665 0.7592047711032018 0.6869914985117016
1,8,,0.872,0.8461538461538461,1.8459736638805446,1.8339272176418302,1.12 1.2844036697247707 1.3236363636363637 0.6067258823430738 0.610711258999777
2,4,,0.752,0.7692307692307692,1.8674378896812667,1.8339272176418302,0.0 0.0 0.0 0.0 0.0
3,3,,0.6719999999999999,0.6923076923076923,1.9031929883167704,1.8843135277997989,1.1 1.6369047619047623 1.588888888888889 0.5779760679829251 0.5837669707144781
4,6,,0.52,0.6153846153846154,1.8181112517447966,1.8843135277997989,0.01 0.019230769230769232 0.01625 0.005500213471757158 0.005306972461040709
5,12,,0.512,0.5384615384615384,1.8044346987419289,1.7381493331928664,0.0 0.0 0.0 0.0 0.0
6,2,,0.46399999999999997,0.46153846153846156,1.7302969692987713,1.6691803368667308,0.0 0.0 0.0 0.0 0.0
7,7,,0.31999999999999995,0.3846153846153846,1.323205165820024,1.4885252948977485,0.0 0.0 0.0 0.0 0.0
8,10,,0.272,0.3076923076923077,1.2047557556857618,1.3520301017579528,0.0 0.0 0.0 0.0 0.0
9,9,,0.19199999999999995,0.23076923076923073,0.9094020063563284,1.1451104143815827,0.0 0.0 0.0 0.0 0.0
10,5,,0.04800000000000004,0.15384615384615385,0.3258395739583094,0.7732283485249176,0.0 0.0 0.0 0.0 0.0
11,11,,0.02400000000000002,0.07692307692307687,0.16334554318340233,0.39124356362925566,0.0 0.0 0.0 0.0 0.0
12,1,,0.0,0.0,-0.0,-0.0,0.0 nan nan nan nan
